mz,id,ion,example,formula
854.56759,PC 40:7,[M+Na]+,"GPCho(20:4(7E,10E,13E,16E)/20:3(5Z,8Z,11Z))",C48H82NO8P
854.56995,PC 42:10,[M+H]+,"GPCho(22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))",C50H80NO8P
854.58871,PS 39:1,[M+Na]+,GPSer(21:0/18:1(11E)),C45H86NO10P
854.59113,PS 41:4,[M+H]+,"GPSer(17:0/24:4(5Z,8Z,11Z,14Z))",C47H84NO10P
854.66146,PC 39:0,[M+Na]+,GPCho(17:0/22:0),C47H94NO8P
854.66146,PE 42:0,[M+Na]+,GPEtn(19:0/23:0),C47H94NO8P
854.66389,PC 41:3,[M+H]+,"GPCho(26:2(5E,9Z)/15:1(9Z))",C49H92NO8P
854.66389,PE 44:3,[M+H]+,"GPEtn(26:1(5Z)/18:2(6Z,9Z))",C49H92NO8P
854.67213,MGDG 40:3,[M+NH4]+,"MGDG(18:1(11E)/22:2(13Z,16Z))",C49H88O10
854.70026,plasmenyl-PC 42:2,[M+H]+,"PC(P-16:0/26:2(5Z,9Z))",C50H96NO7P
854.70852,MGDG 42:3,[M+NH4-CO]+,"MGDG(22:1(13Z)/20:2(5Z,8Z))",C51H92O10
854.72333,TG 51:6,[M+NH4]+,TG(17:2/17:2/17:2),C54H92O6
855.5082,DGDG 28:2,[M+Na]+,"DGDG(2:0/26:2(5Z,9Z))",C43H76O15
855.58555,PA 44:3,[M+Na2-H]+,"GPA(18:1(7Z)/26:2(5E,9Z))",C47H87O8P
855.58798,PA 46:6,[M+Na]+,"GPA(24:1(15Z)/22:5(7Z,10Z,13Z,16Z,19Z))",C49H85O8P
855.59622,MGDG 40:5,[M+Na]+,"MGDG(24:4(5Z,8Z,11Z,14Z)/16:1(7Z))",C49H84O10
855.70497,TG 52:7,[M+Li]+,TG(17:2/17:2/18:3),C55H92O6
855.73187,SM 45:2,[M]+,SM(d19:1(4E)/26:1(17Z)),C50H100N2O6P
855.74129,TG 50:1,[M+Na]+,TG(16:0/16:0/18:1),C53H100O6
855.79881,TG 51:0,[M+Li]+,TG(17:0/17:0/17:0),C54H104O6
855.83517,DG 52:0,[M+Li]+,DG(26:0/26:0/0:0),C55H108O5
856.51046,PS 40:7,[M+Na]+,"GPSer(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(11Z))",C46H76NO10P
856.51282,PS 42:10,[M+H]+,"GPSer(20:4(5E,8E,11E,14E)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C48H74NO10P
856.58321,PC 40:6,[M+Na]+,"GPCho(20:2(11Z,14Z)/20:4(5E,8E,11E,14E))",C48H84NO8P
856.58321,PE 43:6,[M+Na]+,"GPEtn(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/21:0)",C48H84NO8P
856.58564,PC 42:9,[M+H]+,"GPCho(22:5(4Z,7Z,10Z,13Z,16Z)/20:4(5E,8E,11E,14E))",C50H82NO8P
856.60433,PS 39:0,[M+Na]+,GPSer(14:0/25:0),C45H88NO10P
856.60676,PS 41:3,[M+H]+,"GPSer(21:0/20:3(5Z,8Z,11Z))",C47H86NO10P
856.67951,PC 41:2,[M+H]+,"GPCho(24:0/17:2(9Z,12Z))",C49H94NO8P
856.67951,PE 44:2,[M+H]+,"GPEtn(20:2(5Z,8Z)/24:0)",C49H94NO8P
856.68777,MGDG 40:2,[M+NH4]+,MGDG(16:1(9Z)/24:1(15Z)),C49H90O10
856.71589,plasmenyl-PC 42:1,[M+H]+,PC(P-18:0/24:1(15Z)),C50H98NO7P
856.72415,MGDG 42:2,[M+NH4-CO]+,"MGDG(20:2(5Z,8Z)/22:0)",C51H94O10
856.73897,TG 51:5,[M+NH4]+,TG(17:1/17:2/17:2),C54H94O6
857.52383,DGDG 28:1,[M+Na]+,DGDG(18:1(4E)/10:0),C43H78O15
857.60124,PA 44:2,[M+Na2-H]+,"GPA(18:0/26:2(5Z,9Z))",C47H89O8P
857.6036,PA 46:5,[M+Na]+,"GPA(24:4(5Z,8Z,11Z,14Z)/22:1(13Z))",C49H87O8P
857.61187,MGDG 40:4,[M+Na]+,"MGDG(24:4(5Z,8Z,11Z,14Z)/16:0)",C49H86O10
857.72061,TG 52:6,[M+Li]+,TG(16:1/18:2/18:3),C55H94O6
857.74756,SM 45:1,[M]+,SM(d19:0/26:1(17Z)),C50H102N2O6P
857.75693,TG 50:0,[M+Na]+,TG(16:0/16:0/18:0),C53H102O6
